Orthogroup	Family	todMex	halSen	chlAen	ceyCya	calAnn	taeGut	todChl
OG0000366	a	0	3	3	1	3	4	3
OG0000367	a	0	2	2	2	6	3	2
OG0000368	a	0	1	1	1	12	1	1
OG0000369	a	0	0	1	0	6	9	1
OG0000370	a	0	0	0	0	0	17	0
OG0000371	a	0	0	0	0	0	0	17
OG0000372	a	1	2	2	1	2	6	2
OG0000373	a	4	4	1	2	1	2	2
OG0000374	a	1	1	1	1	7	4	1
OG0000375	a	3	3	2	1	2	3	2
OG0000376	a	2	2	2	2	4	2	2
OG0000377	a	2	2	1	5	2	2	2
OG0000378	a	3	3	1	2	2	3	2
OG0000379	a	1	1	1	1	6	5	1
OG0000380	a	2	2	1	3	3	3	2
OG0000381	a	1	3	2	1	3	3	3
OG0000382	a	2	3	2	3	2	2	2
OG0000383	a	2	3	2	3	2	2	2
OG0000384	a	1	2	2	2	3	3	3
OG0000385	a	2	2	3	3	2	2	2
OG0000386	a	2	2	2	1	3	4	2
OG0000387	a	2	3	1	1	2	3	4
OG0000388	a	1	1	1	1	1	10	1
OG0000389	a	1	3	3	1	3	2	3
OG0000390	a	3	2	2	0	3	3	3
OG0000391	a	3	3	2	2	2	2	2
OG0000392	a	1	1	1	1	4	7	1
OG0000393	a	1	7	3	4	0	0	1
OG0000394	a	1	1	1	1	1	10	1
OG0000395	a	2	2	2	1	5	2	2
OG0000396	a	2	2	2	2	1	4	3
OG0000397	a	2	2	2	9	0	1	0
OG0000398	a	3	3	1	2	4	2	1
OG0000399	a	2	2	3	3	2	2	2
OG0000400	a	3	2	2	2	3	3	1
OG0000401	a	1	1	0	1	11	1	1
OG0000402	a	1	3	2	1	3	3	3
OG0000403	a	1	2	2	2	5	3	1
OG0000404	a	2	3	3	1	3	2	2
OG0000405	a	2	2	2	3	2	3	2
OG0000406	a	1	1	1	1	6	2	4
OG0000407	a	3	2	2	3	2	2	2
OG0000408	a	2	2	2	2	2	4	2
OG0000409	a	2	2	1	3	3	3	2
OG0000410	a	2	2	2	2	3	4	1
OG0000411	a	1	1	1	1	11	0	1
OG0000412	a	2	1	0	2	4	4	3
OG0000413	a	2	2	2	3	2	3	2
OG0000414	a	2	2	2	2	2	3	3
OG0000415	a	2	2	2	2	2	3	3
OG0000416	a	2	3	1	2	3	3	2
OG0000417	a	2	2	2	2	3	3	2
OG0000418	a	1	3	2	1	3	3	3
OG0000419	a	1	1	1	2	8	2	1
OG0000420	a	1	2	3	1	3	3	3
OG0000421	a	1	3	1	0	5	3	3
OG0000422	a	2	3	1	4	2	2	2
OG0000423	a	1	2	2	2	3	3	3
OG0000424	a	2	3	2	1	3	3	2
OG0000425	a	1	2	2	2	3	3	3
OG0000426	a	1	1	1	2	8	1	2
OG0000427	a	1	2	2	2	2	3	4
OG0000428	a	1	1	1	0	1	11	1
OG0000429	a	1	3	3	1	3	3	2
OG0000430	a	2	5	0	6	0	0	3
OG0000431	a	1	2	3	1	3	3	3
OG0000432	a	1	1	1	1	2	9	1
OG0000433	a	1	1	1	1	5	6	1
OG0000434	a	1	2	4	2	2	3	2
OG0000435	a	0	3	3	1	3	3	3
OG0000436	a	0	1	1	2	1	9	2
OG0000437	a	0	2	3	1	3	3	4
OG0000438	a	0	3	3	4	2	2	2
OG0000439	a	0	2	3	1	4	3	3
OG0000440	a	0	2	3	2	3	3	3
OG0000441	a	0	1	1	0	6	7	1
OG0000442	a	0	2	2	2	3	3	4
OG0000443	a	0	1	1	1	4	8	1
OG0000444	a	0	1	0	1	9	1	4
OG0000445	a	0	0	0	0	0	16	0
OG0000446	a	2	2	2	3	2	2	2
OG0000447	a	2	2	2	1	5	2	1
OG0000448	a	3	2	0	2	1	4	3
OG0000449	a	2	2	2	1	2	3	3
OG0000450	a	2	3	2	2	2	2	2
OG0000451	a	2	2	0	2	4	3	2
OG0000452	a	4	1	1	2	3	3	1
OG0000453	a	3	2	1	3	0	2	4
OG0000454	a	2	2	2	1	3	3	2
OG0000455	a	2	1	2	1	2	5	2
OG0000456	a	3	3	2	1	2	2	2
OG0000457	a	2	2	2	1	3	3	2
OG0000458	a	2	1	3	1	3	3	2
OG0000459	a	2	2	2	1	2	4	2
OG0000460	a	10	1	2	2	0	0	0
OG0000461	a	1	1	1	1	1	9	1
OG0000462	a	3	2	1	3	2	2	2
OG0000463	a	1	2	2	2	2	4	2
OG0000464	a	2	2	2	2	2	3	2
OG0000465	a	2	2	2	2	2	3	2
OG0000466	a	2	2	2	3	2	2	2
OG0000467	a	2	2	1	3	2	2	3
OG0000468	a	1	2	2	3	2	3	2
OG0000469	a	2	2	2	2	2	3	2
OG0000470	a	2	2	2	2	3	2	2
OG0000471	a	2	2	2	3	2	2	2
OG0000472	a	1	2	2	1	3	3	3
OG0000473	a	2	2	1	3	2	2	3
OG0000474	a	2	2	2	3	2	2	2
OG0000475	a	2	2	2	1	4	3	1
OG0000476	a	3	2	2	2	2	2	2
OG0000477	a	2	2	1	3	2	2	3
OG0000478	a	1	2	2	2	4	3	1
OG0000479	a	2	3	1	2	2	3	2
OG0000480	a	1	3	1	2	3	3	2
OG0000481	a	3	3	2	4	1	1	1
OG0000482	a	2	3	1	3	2	2	2
OG0000483	a	2	2	2	3	2	2	2
OG0000484	a	1	1	1	0	1	10	1
OG0000485	a	2	2	1	2	3	3	2
OG0000486	a	3	2	2	2	2	2	2
OG0000487	a	1	2	2	3	2	3	2
OG0000488	a	1	2	1	2	3	4	2
OG0000489	a	1	2	2	4	2	2	2
OG0000490	a	1	1	1	1	7	3	1
OG0000491	a	2	2	2	2	2	3	2
OG0000492	a	1	2	2	1	3	3	3
OG0000493	a	1	3	3	1	2	3	2
OG0000494	a	2	1	2	4	2	2	2
OG0000495	a	1	1	1	1	9	1	1
OG0000496	a	3	1	3	1	2	3	2
OG0000497	a	2	2	0	5	2	2	2
OG0000498	a	2	2	2	1	2	4	2
OG0000499	a	3	3	1	1	1	3	3
OG0000500	a	1	1	1	1	5	3	3
OG0000501	a	1	1	1	2	2	5	3
OG0000502	a	3	2	2	2	2	2	2
OG0000503	a	2	3	4	3	1	1	1
OG0000504	a	1	2	0	4	3	3	2
OG0000505	a	2	2	2	2	2	3	2
OG0000506	a	2	2	1	2	4	2	2
OG0000507	a	2	3	2	1	2	3	2
OG0000508	a	1	2	1	1	3	2	5
OG0000509	a	1	3	2	2	3	2	2
OG0000510	a	1	1	1	1	5	5	1
OG0000511	a	2	3	2	2	2	2	2
OG0000512	a	1	2	1	2	2	5	2
OG0000513	a	3	4	2	2	2	2	0
OG0000514	a	2	3	2	0	2	3	3
OG0000515	a	1	0	3	2	1	3	5
OG0000516	a	1	2	2	2	3	3	2
OG0000517	a	2	3	3	1	2	2	2
OG0000518	a	1	0	1	2	1	1	9
OG0000519	a	2	2	2	2	3	2	2
OG0000520	a	1	3	2	1	3	3	2
OG0000521	a	1	2	1	2	5	2	2
OG0000522	a	2	2	1	3	2	3	2
OG0000523	a	2	2	2	2	2	3	2
OG0000524	a	1	2	3	2	2	2	3
OG0000525	a	1	1	1	1	3	7	1
OG0000526	a	1	2	2	1	4	3	2
OG0000527	a	1	2	2	2	4	2	2
OG0000528	a	2	2	2	1	3	3	2
OG0000529	a	2	2	1	1	2	5	2
OG0000530	a	2	2	2	3	2	2	2
OG0000531	a	3	1	2	5	1	2	1
OG0000532	a	1	2	2	2	3	2	3
OG0000533	a	3	2	1	0	3	3	3
OG0000534	a	1	2	2	1	4	3	2
OG0000535	a	1	2	2	1	5	2	2
OG0000536	a	1	1	1	2	3	4	3
OG0000537	a	1	2	2	1	3	3	3
OG0000538	a	1	2	1	1	1	3	6
OG0000539	a	1	1	2	2	6	2	1
OG0000540	a	1	1	2	3	2	4	2
OG0000541	a	1	2	2	2	3	2	3
